BehaviorSpace results (NetLogo 6.1.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
predator-prey-model-revised-17_03_2020-for_cheetah_vs_impala.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheetah vs impala - acacia thicket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/04/2020 11:53:01:752 +1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-200,200,-200,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],prey-max-velocity,prey-agility,prey-acceleration,prey-deceleration,prey-vision-distance,prey-vision-angle,freeze-distance,flight-initiation-distance,prey-exhaustion-distance,time-to-turn,time-spent-circling,predator-max-velocity,predator-agility,predator-acceleration,predator-deceleration,predator-vision-distance,predator-vision-angle,predator-exhaustion-distance,kill-distance,obstacle-proportion,obstacle-radius,prey-obstacle-sensitivity,predator-obstacle-sensitivity,number-of-refuges,number-of-target-patches,[step],number-obstacles,count patches with [ pcolor = brown ] / count patches,prey-win,predator-win,detect-time,pursuit-time,sim-time,prey-escape-length,predator-pursuit-length,prey-curviness,predator-curviness,[ behaviour ] of one-of prey,[ behaviour ] of one-of predators,prey-detected
15,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,18000,573,0.100005597,1,0,0,0,899.95,0,0,0,0,forage,search,0
16,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,18000,572,0.100005597,1,0,0,0,899.95,0,0,0,0,forage,search,0
28,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,5905,575,0.100005597,0,1,41.95,253.3,295.2,354.4723917,236.9409205,0.391537877,0.513524527,escape,pursue,1
26,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,5050,566,0.100005597,0,1,208.55,43.95,252.45,48.30223708,47.69852798,0.5734751,0.396571612,escape,pursue,1
20,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,18000,572,0.100005597,1,0,0,0,899.95,0,0,0,0,forage,search,0
27,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,9267,576,0.100005597,0,1,130,229.2,463.3,379.050454,139.7236687,0.297395204,0.525192569,escape,pursue,1
31,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,1407,574,0.100005597,0,1,29,41.35,70.3,57.19284269,37.44664244,0.60850025,0.471141807,escape,pursue,1
23,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,18000,564,0.100005597,1,0,0,0,899.95,0,0,0,0,forage,search,0
30,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,6016,582,0.100005597,0,1,196.75,104.05,300.75,185.7846143,110.877978,0.274155534,0.412784924,escape,pursue,1
21,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,17263,582,0.100005597,0,1,846.9,16.25,863.1,35.88149945,16.50195391,0.268925525,0.404367096,escape,pursue,1
25,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,18000,583,0.100005597,1,0,0,0,899.95,0,0,0,0,forage,search,0
35,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,5617,567,0.100005597,0,1,87.15,193.65,280.8,323.6866434,179.2288716,0.264124816,0.554270964,escape,pursue,1
32,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,17107,580,0.100005597,0,1,294.3,549.9,855.3,800.1526881,170.9547745,0.419535937,0.687716721,exhausted,pursue,1
29,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,18000,577,0.100005597,1,0,0,0,899.95,0,0,0,0,forage,search,0
37,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,11208,587,0.100005597,0,1,377.8,182.6,560.35,252.8372105,155.2063022,0.554611273,0.53169744,circle,stalk,1
33,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,18000,579,0.100005597,1,0,899,0,899.95,0,0,0,0,forage,search,1
34,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,18000,573,0.100005597,1,0,0,0,899.95,0,0,0,0,forage,search,0
42,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,9599,574,0.100005597,0,1,43.75,386.55,479.9,563.5328388,228.945595,0.384632542,0.602558098,escape,pursue,1
36,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,18000,578,0.100005597,1,0,0,0,899.95,0,0,0,0,forage,search,0
39,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,18000,569,0.100005597,1,0,662.45,237.55,899.95,350.5003983,143.8260092,0.375481383,0.673904388,escape,pursue,1
38,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,13774,569,0.100005597,0,1,600.15,88.55,688.65,131.3428672,58.79804402,0.38988889,0.775913256,escape,search,1
44,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,4965,562,0.100005597,0,1,22.9,225.3,248.2,334.654922,176.3725696,0.357905119,0.646557722,escape,pursue,1
40,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,18000,563,0.100005597,1,0,0,0,899.95,0,0,0,0,forage,search,0
48,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,4919,575,0.100005597,0,1,85.5,160.4,245.9,253.4352967,125.3861961,0.305685813,0.610510723,escape,pursue,1
41,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,18000,578,0.100005597,1,0,0,0,899.95,0,0,0,0,forage,search,0
52,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,78,583,0.100005597,0,1,0.05,3.85,3.85,5.933721797,2.486904699,0.449322186,1.063639477,escape,pursue,1
45,13.8,3.429,5.7,6.3,50,240,50,30,800,3,3,19.9,3.569,8.3,10.6,50,180,300,0.66,0.1,1.5,0.99,0.99,0,0,14491,576,0.100005597,0,1,492.4,232.15,724.5,301.86357,193.3852207,0.404668608,0.624632868,escape,pursue,1
