"BehaviorSpace results (NetLogo 6.1.1)"
"predator-prey-model-revised-17_03_2020.nlogo"
"PS 039"
"04/03/2020 19:22:30:735 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-75","75","-75","75"
"[run number]","prey-limb-length","prey-vision-distance","prey-vision-angle","freeze-distance","flight-initiation-distance","prey-exhaustion-distance","time-to-turn","time-spent-circling","predator-limb-length","predator-vision-distance","predator-vision-angle","predator-exhaustion-distance","kill-distance","obstacle-proportion","obstacle-radius","prey-obstacle-sensitivity","predator-obstacle-sensitivity","number-of-refuges","number-of-target-patches","[step]","number-obstacles","count patches with [ pcolor = brown ] / count patches","prey-win","predator-win","detect-time","pursuit-time","sim-time","prey-escape-length","predator-pursuit-length","prey-curviness","predator-curviness","[ behaviour ] of one-of prey","[ behaviour ] of one-of predators","prey-detected"
"9","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","207","92","0.05004166483926144","0","1","0","0","10.3","0","0","0","0","escape","pursue","1"
"38","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","683","90","0.05004166483926144","0","1","34.1","0","34.1","0","0","0","0","forage","stalk","1"
"37","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","439","88","0.05004166483926144","0","1","21.900000000000002","0","21.900000000000002","0","0","0","0","forage","stalk","1"
"28","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","827","87","0.05004166483926144","0","1","39.75","1.6","41.300000000000004","1.0657895554076993","2.3363422728441696","0.8098642702044063","0.15775116755045793","escape","pursue","1"
"40","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","2274","88","0.05004166483926144","0","1","18.3","95.45","113.65","268.5772505727166","22.76540372886085","0.18484172209988192","0.571078311409125","escape","pursue","1"
"10","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","435","93","0.05004166483926144","0","1","21.700000000000003","0","21.700000000000003","0","0","0","0","forage","stalk","1"
"27","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","1036","92","0.05004166483926144","0","1","21","26.85","51.75","63.742280207728925","15.022124488777642","0.21450718510680267","0.5121602036417414","forage","stalk","1"
"41","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","344","88","0.05004166483926144","0","1","17.150000000000002","0","17.150000000000002","0","0","0","0","forage","stalk","1"
"39","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","1814","93","0.05004166483926144","0","1","90","0.7000000000000001","90.65","0.5728828521486348","2.1043048667495463","0.5134466464713511","0.03708063348165316","escape","pursue","1"
"7","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","1098","91","0.05004166483926144","0","1","54","0.9","54.85","0.2488819867978954","0.9993425909516096","4.527830263637886","0.553347839190733","escape","pursue","1"
"43","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","1166","90","0.05004166483926144","0","1","55.050000000000004","0","58.25","0","0","0","0","escape","pursue","1"
"16","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","6006","92","0.05004166483926144","0","1","28.05","194.8","300.25","510.00358012357344","83.35686889381753","0.16533920031150956","0.5019613891295027","exhausted","pursue","1"
"14","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","5243","91","0.05004166483926144","0","1","36.65","185.8","262.1","510.2116675538467","65.88836200209688","0.19929126587441193","0.36144843555477946","exhausted","pursue","1"
"25","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","1893","94","0.05004166483926144","0","1","94.4","0.25","94.60000000000001","0.06814864701141736","1.5665571621177266","4.586001590999852","0.0055239867035284645","escape","pursue","1"
"44","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","1511","91","0.05004166483926144","0","1","74.65","0.9","75.5","1.1529237742858478","2.8213310191845493","0.21099680467194626","0.027439555625185783","escape","pursue","1"
"49","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","3735","91","0.05004166483926144","0","1","17","169.75","186.70000000000002","402.91738979100313","75.80749250061265","0.19802610523739256","0.273550348632387","escape","pursue","1"
"4","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","2188","84","0.05004166483926144","0","1","108.2","1.25","109.35000000000001","0.308483849869715","2.7899626467883154","10.145250362052849","0.19055329855182596","escape","pursue","1"
"52","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","444","90","0.05004166483926144","0","1","22.150000000000002","0","22.150000000000002","0","0","0","0","forage","stalk","1"
"12","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","2236","88","0.05004166483926144","0","1","68.4","6","111.75","19.66061042127351","3.2476843093538763","0.08784399173855686","0.49992695781018137","escape","pursue","1"
"35","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","7287","89","0.05004166483926144","0","1","83.4","189.3","364.3","510.0267597349305","50.026051486570516","0.13948081091538447","0.4378505100533518","exhausted","pursue","1"
"21","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","3472","90","0.05004166483926144","0","1","117.5","56.1","173.55","172.32274612861536","19.707549886221926","0.10789697168485475","0.2073771261464725","escape","pursue","1"
"36","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","4375","90","0.05004166483926144","0","1","218.45000000000002","0.30000000000000004","218.70000000000002","1.771928592013505","0.36851343753118454","0.06910429387450995","0.2259745912412207","escape","pursue","1"
"33","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","7509","95","0.05004166483926144","0","1","96.30000000000001","195.60000000000002","375.40000000000003","510.0090568419263","47.43743394405324","0.2056898522774799","0.5138957412141102","exhausted","pursue","1"
"22","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","5558","93","0.05004166483926144","0","1","149.35","128.5","277.85","344.4616807566498","49.8563485435096","0.16920587957840788","0.48217715718411397","escape","pursue","1"
"17","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","4657","87","0.05004166483926144","0","1","230.15","2.7","232.8","1.477677504172998","4.3793935593179105","1.87716756547266","0.12114192050544102","escape","pursue","1"
"34","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","8674","91","0.05004166483926144","0","1","146.95000000000002","209.60000000000002","433.65000000000003","510.3676343281712","62.33333800985858","0.17742369208310693","0.49890118660092087","exhausted","pursue","1"
"55","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","4746","94","0.05004166483926144","0","1","9.5","211.8","237.25","510.24793480650186","43.844496877276505","0.19186367794345374","0.4621801042627339","exhausted","pursue","1"
"60","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","5322","94","0.05004166483926144","0","1","0.35000000000000003","201.75","266.05","510.03736404488063","63.32226592504732","0.18795146353173273","0.44696966899851615","exhausted","pursue","1"
"11","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","5313","89","0.05004166483926144","0","1","265.05","0.6000000000000001","265.6","0.2938770368310939","2.1772366264799143","1.4295454243644845","0.010312839351115504","escape","pursue","1"
"54","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","4379","91","0.05004166483926144","1","0","80.35000000000001","138.6","218.9","364.40313999050113","33.38188253725426","0.16793533468586536","0.5320974286932384","safe","search","1"
"47","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","4948","93","0.05004166483926144","0","1","245.45000000000002","1.9500000000000002","247.35000000000002","1.6172710889662207","2.013895331232104","1.1542227805189282","0.2538268179699042","escape","search","1"
"56","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","2386","89","0.05004166483926144","0","1","115.5","0","119.25","0","0","0","0","forage","stalk","1"
"53","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","3740","83","0.05004166483926144","1","0","141.9","45.1","186.95000000000002","121.10306218019778","29.899183608833205","0.1267422446900456","0.4688963085624073","safe","search","1"
"32","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","6098","87","0.05004166483926144","0","1","304.65000000000003","0.25","304.85","0.09650789450622693","0.5698394335385721","2.286772681919214","0.06671134150619325","escape","pursue","1"
"51","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","3120","82","0.05004166483926144","0","1","154.85000000000002","1.1500000000000001","155.95000000000002","0.826111463026899","3.8235594616924207","0.6783355045990254","0.027919685210974043","escape","pursue","1"
"67","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","1653","81","0.05004166483926144","0","1","0.25","82.4","82.60000000000001","199.96583640861812","25.384818307111974","0.20627331134154486","0.4013244441921203","escape","pursue","1"
"65","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","632","90","0.05004166483926144","0","1","31.55","0","31.55","0","0","0","0","forage","stalk","1"
"48","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","8290","93","0.05004166483926144","0","1","156.9","199.60000000000002","414.45000000000005","510.0692291958171","44.89782718826478","0.19315087906369663","0.6192337983133782","exhausted","pursue","1"
"63","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","1663","90","0.05004166483926144","0","1","83.05000000000001","0","83.10000000000001","0","0","0","0","forage","stalk","1"
"64","0.5","15","30","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","1","0","1077","91","0.05004166483926144","0","1","50","5.4","53.800000000000004","9.8843391536444","9.599785287367796","0.1874790302991422","0.24445316237205622","escape","pursue","1"
