"BehaviorSpace results (NetLogo 6.1.1)"
"predator-prey-model-revised-17_03_2020.nlogo"
"PS 085"
"04/26/2020 14:40:21:581 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-75","75","-75","75"
"[run number]","prey-limb-length","prey-vision-distance","prey-vision-angle","freeze-distance","flight-initiation-distance","prey-exhaustion-distance","time-to-turn","time-spent-circling","predator-limb-length","predator-vision-distance","predator-vision-angle","predator-exhaustion-distance","kill-distance","obstacle-proportion","obstacle-radius","prey-obstacle-sensitivity","predator-obstacle-sensitivity","number-of-refuges","number-of-target-patches","[step]","number-obstacles","count patches with [ pcolor = brown ] / count patches","prey-win","predator-win","detect-time","pursuit-time","sim-time","prey-escape-length","predator-pursuit-length","prey-curviness","predator-curviness","[ behaviour ] of one-of prey","[ behaviour ] of one-of predators","prey-detected"
"37","0.5","15","180","10","5","10","3","1","0.5","15","30","510","1","0.05","1","0.99","0.99","1","0","1217","91","0.05004166483926144","0","1","47.7","2.7","60.800000000000004","10.009903721267058","8.426214171550738","0.09181198128221649","0.4525838299265294","exhausted","pursue","1"
"26","0.5","15","180","10","5","10","3","1","0.5","15","30","510","1","0.05","1","0.99","0.99","1","0","241","85","0.05004166483926144","0","1","11.75","0.65","12","3.7737857305395863","0.16473469586845008","0.08897557227060704","0.7848352852220338","escape","search","1"
"4","0.5","15","180","10","5","10","3","1","0.5","15","30","510","1","0.05","1","0.99","0.99","1","0","671","88","0.05004166483926144","0","1","17.25","2.25","33.5","10.035123461962133","2.9879169990223886","0.021127058915934707","1.0029632719617037","exhausted","pursue","1"
"34","0.5","15","180","10","5","10","3","1","0.5","15","30","510","1","0.05","1","0.99","0.99","1","0","415","96","0.05004166483926144","0","1","19.85","0.9","20.700000000000003","2.06579016622218","1.6482483825964818","0.1516898610273685","0.09216880231793212","escape","pursue","1"
"15","0.5","15","180","10","5","10","3","1","0.5","15","30","510","1","0.05","1","0.99","0.99","1","0","944","88","0.05004166483926144","0","1","39.45","4.1000000000000005","47.150000000000006","10.018679876188303","8.745885178541117","0.25687622713897307","0.21687946788473084","exhausted","pursue","1"
"29","0.5","15","180","10","5","10","3","1","0.5","15","30","510","1","0.05","1","0.99","0.99","1","0","1074","94","0.05004166483926144","0","1","50.400000000000006","3.7","53.650000000000006","4.955417542860322","0.5061982462229158","0.9442744853996924","0.4907722666938911","escape","search","1"
"10","0.5","15","180","10","5","10","3","1","0.5","15","30","510","1","0.05","1","0.99","0.99","1","0","1615","86","0.05004166483926144","0","1","31.05","3.6","80.7","10.21387554966378","8.360784015059378","0.26730279730832895","1.176532958574876","exhausted","pursue","1"
"14","0.5","15","180","10","5","10","3","1","0.5","15","30","510","1","0.05","1","0.99","0.99","1","0","2497","94","0.05004166483926144","0","1","63.45","2.85","124.80000000000001","10.092557357586347","11.095441609978272","0.48521713568513225","0.6066040153075535","exhausted","pursue","1"
"31","0.5","15","180","10","5","10","3","1","0.5","15","30","510","1","0.05","1","0.99","0.99","1","0","3020","86","0.05004166483926144","0","1","115.2","5.050000000000001","150.95000000000002","10.264593297929771","9.320250854355098","0.14539430008464627","0.9864889050280841","exhausted","search","1"
"36","0.5","15","180","10","5","10","3","1","0.5","15","30","510","1","0.05","1","0.99","0.99","1","0","1620","86","0.05004166483926144","0","1","79.80000000000001","1.2000000000000002","80.95","4.034356403271589","0.5147546726232605","0.29134805190491303","0.6456832903378382","escape","search","1"
