"BehaviorSpace results (NetLogo 6.1.1)"
"predator-prey-model-revised-17_03_2020.nlogo"
"PS 103"
"05/07/2020 21:28:01:977 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-75","75","-75","75"
"[run number]","prey-limb-length","prey-vision-distance","prey-vision-angle","freeze-distance","flight-initiation-distance","prey-exhaustion-distance","time-to-turn","time-spent-circling","predator-limb-length","predator-vision-distance","predator-vision-angle","predator-exhaustion-distance","kill-distance","obstacle-proportion","obstacle-radius","prey-obstacle-sensitivity","predator-obstacle-sensitivity","number-of-refuges","number-of-target-patches","[step]","number-obstacles","count patches with [ pcolor = brown ] / count patches","prey-win","predator-win","detect-time","pursuit-time","sim-time","prey-escape-length","predator-pursuit-length","prey-curviness","predator-curviness","[ behaviour ] of one-of prey","[ behaviour ] of one-of predators","prey-detected"
"20","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.11","1","0","79","85","0.05004166483926144","0","1","0","0","3.9000000000000004","0","0","0","0","escape","pursue","1"
"31","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.11","1","0","161","93","0.05004166483926144","0","1","7","1.05","8","3.8491114067814625","0.47013838788116374","0.10259859119765123","2.116948117237005","escape","pursue","1"
"21","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.11","1","0","550","88","0.05004166483926144","0","1","6.7","20.8","27.450000000000003","52.69706182035263","21.09110852330665","0.19628066259766347","0.2854627027017488","escape","pursue","1"
"23","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.11","1","0","868","93","0.05004166483926144","0","1","9.9","33.5","43.35","83.61012553786905","26.25698564103766","0.13434610227817112","0.24153661564328718","escape","pursue","1"
"8","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.11","1","0","3330","88","0.05004166483926144","0","1","0.05","166.45000000000002","166.45000000000002","413.2898988854607","58.58165718949576","0.22492674438485283","0.40347895265833655","escape","pursue","1"
"17","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.11","1","0","1240","94","0.05004166483926144","0","1","24.150000000000002","37.85","61.95","73.5496640575856","35.02609001737829","0.21686584357218897","0.21157063843243618","escape","pursue","1"
"19","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.11","1","0","912","90","0.05004166483926144","0","1","36.35","9.25","45.550000000000004","21.98638411842103","16.11568718548052","0.3238235317275943","0.21245421246762672","escape","pursue","1"
"2","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.11","1","0","3306","89","0.05004166483926144","0","1","7.9","156.05","165.25","510.00932321587084","19.716951494980133","0.11923336967219463","0.5903981870249853","exhausted","pursue","1"
"11","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.11","1","0","1854","100","0.05004166483926144","0","1","30.75","61.95","92.65","154.57614570381853","15.66352739047259","0.18045678783878935","0.7562998098025","escape","pursue","1"
"9","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.11","1","0","1304","86","0.05004166483926144","0","1","58.85","6.3500000000000005","65.15","12.898473678812014","14.159590486670224","0.3234083571973865","0.11391863543373004","escape","pursue","1"
"7","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.11","1","0","1723","86","0.05004166483926144","0","1","53.85","32.35","86.10000000000001","57.42370447217436","34.648477377755775","0.358476387430963","0.48392550113848415","escape","pursue","1"
"14","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.11","1","0","2721","92","0.05004166483926144","0","1","28.8","107.25","136","249.41991864673167","47.56266022682059","0.21360604526960508","0.20508167940591743","escape","pursue","1"
"39","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.11","1","0","3304","90","0.05004166483926144","1","0","94.2","71","165.15","154.92657645617658","63.40113018078728","0.17910996247340136","0.4481698091166161","safe","pursue","1"
"27","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.11","1","0","3258","90","0.05004166483926144","0","1","85","77.9","162.85000000000002","199.32857921887913","52.76658096146741","0.19959991114585438","0.43652079993304627","circle","search","1"
"12","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.11","1","0","2207","87","0.05004166483926144","0","1","102.60000000000001","7.75","110.30000000000001","19.885616799136535","9.599810103325373","0.4164340671000955","0.11847487308631342","escape","pursue","1"
"10","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.11","1","0","1706","86","0.05004166483926144","0","1","84.7","0.6000000000000001","85.25","2.608848223903001","1.3418355212282875","0.13620994103726025","0.06265676432125564","escape","pursue","1"
"29","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.11","1","0","2043","92","0.05004166483926144","0","1","101.7","0.45","102.10000000000001","1.847581752337141","1.7430794760498964","1.4351586817872268","0.03091949459372315","escape","pursue","1"
"1","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.11","1","0","4523","90","0.05004166483926144","0","1","38","188.15","226.10000000000002","451.57057977080234","38.29994709952166","0.25384949985409816","0.23236803598501263","escape","pursue","1"
