"BehaviorSpace results (NetLogo 6.1.1)"
"predator-prey-model-revised-17_03_2020.nlogo"
"PS 104"
"05/07/2020 21:48:46:404 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-75","75","-75","75"
"[run number]","prey-limb-length","prey-vision-distance","prey-vision-angle","freeze-distance","flight-initiation-distance","prey-exhaustion-distance","time-to-turn","time-spent-circling","predator-limb-length","predator-vision-distance","predator-vision-angle","predator-exhaustion-distance","kill-distance","obstacle-proportion","obstacle-radius","prey-obstacle-sensitivity","predator-obstacle-sensitivity","number-of-refuges","number-of-target-patches","[step]","number-obstacles","count patches with [ pcolor = brown ] / count patches","prey-win","predator-win","detect-time","pursuit-time","sim-time","prey-escape-length","predator-pursuit-length","prey-curviness","predator-curviness","[ behaviour ] of one-of prey","[ behaviour ] of one-of predators","prey-detected"
"20","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","501","92","0.05004166483926144","0","1","13.55","11.5","25","29.60251724974259","9.903889534905606","0.2616553506498763","0.6153508517538521","escape","pursue","1"
"1","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","523","89","0.05004166483926144","0","1","25.6","0.55","26.1","2.415203781539418","1.3973336855954883","1.091704176771398","0.05306633310832212","escape","pursue","1"
"3","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","511","85","0.05004166483926144","0","1","24.6","0.9500000000000001","25.5","0.30993316235840784","3.451394439888447","3.259555466561796","0.020038226831230674","escape","pursue","1"
"33","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","708","88","0.05004166483926144","0","1","17.35","18.05","35.35","41.932650519222086","24.577563314437313","0.2667527059242059","0.212263299376831","escape","pursue","1"
"18","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","2054","90","0.05004166483926144","0","1","1.4000000000000001","101.30000000000001","102.65","248.83689536375314","14.273039676963272","0.18794447144773252","0.5345144265169274","escape","search","1"
"13","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","1074","82","0.05004166483926144","0","1","53.050000000000004","0.65","53.650000000000006","3.312142242013977","0.8712288690805036","0.0063215696441630605","0.17453395291746784","escape","pursue","1"
"6","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","1513","94","0.05004166483926144","0","1","23.8","51.85","75.60000000000001","132.16734509622174","5.857554325213803","0.1940942508452932","0.45593486754750656","escape","search","1"
"36","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","3219","89","0.05004166483926144","0","1","2.75","140.85","160.9","373.0970228151751","31.966103704182796","0.19754557535443787","0.46488328501073234","escape","pursue","1"
"2","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","2319","87","0.05004166483926144","0","1","13.850000000000001","102.10000000000001","115.9","321.6029113161631","20.524219229896207","0.16111148945593665","0.38359737525474646","escape","pursue","1"
"45","0.5","15","180","10","5","510","1","1","0.5","15","180","510","1","0.05","1","0.99","0.99","0","0","1164","88","0.05004166483926144","0","1","54.6","3.6","58.150000000000006","13.756017255629429","5.996062985612579","0.24954307809465687","0.16566602005202372","escape","pursue","1"
