"BehaviorSpace results (NetLogo 6.1.1)"
"predator-prey-model-revised-17_03_2020.nlogo"
"PS 154"
"05/28/2020 18:00:05:304 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-75","75","-75","75"
"[run number]","prey-limb-length","prey-vision-distance","prey-vision-angle","freeze-distance","flight-initiation-distance","prey-exhaustion-distance","time-to-turn","time-spent-circling","predator-limb-length","predator-vision-distance","predator-vision-angle","predator-exhaustion-distance","kill-distance","obstacle-proportion","obstacle-radius","prey-obstacle-sensitivity","predator-obstacle-sensitivity","number-of-refuges","number-of-target-patches","[step]","number-obstacles","count patches with [ pcolor = brown ] / count patches","prey-win","predator-win","detect-time","pursuit-time","sim-time","prey-escape-length","predator-pursuit-length","prey-curviness","predator-curviness","[ behaviour ] of one-of prey","[ behaviour ] of one-of predators","prey-detected"
"12","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","1133","94","0.05004166483926144","1","0","33.35","23.3","56.6","68.29956450571291","8.002283331307071","0.141264960224544","0.1643916238812812","safe","search","1"
"2","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","1243","90","0.05004166483926144","0","1","10.15","52","62.1","112.20509946348794","42.44953392686214","0.359186304089922","0.3326540815154325","escape","pursue","1"
"38","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","1263","92","0.05004166483926144","0","1","54.650000000000006","8.5","63.1","10.346642781946933","7.620455965442763","0.37555648558339805","0.3700996299237486","escape","pursue","1"
"39","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","4337","79","0.05004166483926144","0","1","0.05","188.9","216.8","510.00140272353207","48.4272324316057","0.14136730399816458","0.47935591998791843","exhausted","pursue","1"
"6","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","3873","87","0.05004166483926144","1","0","24.05","168.5","193.60000000000002","418.44732212263807","63.650661747107385","0.17092939996584172","0.3876448493209724","safe","search","1"
"14","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","712","87","0.05004166483926144","0","1","34.800000000000004","0.8","35.550000000000004","3.013200008134297","0.5936854601712233","1.0378875413375404","0.5505834310910624","escape","pursue","1"
"21","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","1228","88","0.05004166483926144","0","1","59.150000000000006","2.25","61.35","1.0189729239311827","4.7854366883836805","2.0047764380728506","0.06573927033650884","escape","pursue","1"
"18","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","3639","90","0.05004166483926144","0","1","23.85","158.10000000000002","181.9","366.4375370721848","77.6039292629501","0.18460347771209393","0.19777755780606124","escape","pursue","1"
"30","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","1275","85","0.05004166483926144","0","1","63","0.75","63.7","2.825257983249605","1.094385485944017","0.8694096030152071","0.3005833739824126","escape","pursue","1"
"13","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","2387","94","0.05004166483926144","1","0","43.6","76.25","119.30000000000001","185.22232997782172","25.904569809686038","0.21238080792542646","0.5484771867445605","safe","search","1"
"45","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","498","91","0.05004166483926144","0","1","24.1","0.8","24.85","0.27653900806101916","3.8992070364618425","2.887264733204015","0.009553321907328419","escape","pursue","1"
"34","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","1315","90","0.05004166483926144","0","1","65.25","0.5","65.7","0.18154058473084433","3.372554464938344","2.595373804632253","0.0033137245352461973","escape","pursue","1"
"47","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","212","90","0.05004166483926144","0","1","9.55","1.05","10.55","3.1056693984903267","1.2720900644038615","0.3292943266929972","0.21555869154337423","escape","pursue","1"
"36","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","3004","88","0.05004166483926144","0","1","137.1","62.800000000000004","150.15","125.26756422058934","11.825784771375158","0.4000239512170892","0.21847012458560372","circle","stalk","1"
"24","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","3273","90","0.05004166483926144","0","1","70.4","93.25","163.60000000000002","271.6599398186323","17.611732560171824","0.19588918333610933","0.1926232127994996","escape","pursue","1"
"51","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","133","95","0.05004166483926144","0","1","5.75","0.9","6.6000000000000005","3.3566166474135932","1.2199484136891496","0.9119311870256591","0.1884491290997696","escape","pursue","1"
"8","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","5268","86","0.05004166483926144","0","1","51.25","197.5","263.35","510.1871479991017","59.94234840947534","0.19267359733478873","0.4056934253651016","exhausted","pursue","1"
"23","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","6084","98","0.05004166483926144","0","1","74.60000000000001","194.65","304.15000000000003","510.1048213269159","107.30651776734274","0.1834266711452209","0.28167202320129064","exhausted","pursue","1"
"37","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","4543","82","0.05004166483926144","1","0","162.60000000000002","64.55","227.10000000000002","173.88968516510442","15.44681985067778","0.1721176074947524","0.3970844369589303","safe","search","1"
"32","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","3528","92","0.05004166483926144","1","0","161.95000000000002","14.450000000000001","176.35000000000002","41.01053658531488","3.8086603257346123","0.270869257850263","0.7705937416766492","safe","search","1"
"54","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","888","89","0.05004166483926144","0","1","43.800000000000004","0.6000000000000001","44.35","0.2338177634657818","3.498063527506495","2.84529537649455","0.007662562442653586","escape","pursue","1"
"40","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","6725","87","0.05004166483926144","0","1","115.85000000000001","204.95000000000002","336.20000000000005","510.05014210958643","48.11850770828629","0.2671765637349875","0.46190243240443696","exhausted","pursue","1"
"7","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","5139","90","0.05004166483926144","0","1","164.85000000000002","86.95","256.90000000000003","231.31919325848222","22.343490539389123","0.13588288023182482","0.3767442986801415","escape","pursue","1"
"57","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","4769","90","0.05004166483926144","0","1","0.05","219.95000000000002","238.4","510.1219515629653","113.43427613672817","0.2175687208281572","0.34323731966800414","exhausted","pursue","1"
"20","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","3312","89","0.05004166483926144","0","1","165.3","0.30000000000000004","165.55","0.18832774761078247","0.38877283360731907","0.8652420990313228","0.2030366535784396","escape","pursue","1"
"3","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","6117","91","0.05004166483926144","1","0","204.55","101.30000000000001","305.8","243.41019527196977","26.80936636251436","0.20480251434945576","0.5930791864311821","safe","search","1"
"16","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","4636","85","0.05004166483926144","1","0","165.75","66.05","231.75","158.5782667179895","48.690568858833274","0.2934872340154337","0.4094793076048802","safe","search","1"
"60","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","479","89","0.05004166483926144","0","1","23.900000000000002","0","23.900000000000002","0","0","0","0","forage","stalk","1"
"27","0.5","15","180","10","5","510","3","1","0.5","15","180","510","0.5","0.05","1","0.99","0.11","1","0","5457","90","0.05004166483926144","1","0","197.95000000000002","74.9","272.8","182.08513838246398","26.344930318294722","0.22174616518130916","0.20382999825901793","safe","search","1"
