"BehaviorSpace results (NetLogo 6.1.1)"
"predator-prey-model-revised-17_03_2020.nlogo"
"PS 059"
"04/21/2020 20:32:50:642 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-75","75","-75","75"
"[run number]","prey-limb-length","prey-vision-distance","prey-vision-angle","freeze-distance","flight-initiation-distance","prey-exhaustion-distance","time-to-turn","time-spent-circling","predator-limb-length","predator-vision-distance","predator-vision-angle","predator-exhaustion-distance","kill-distance","obstacle-proportion","obstacle-radius","prey-obstacle-sensitivity","predator-obstacle-sensitivity","number-of-refuges","number-of-target-patches","[step]","number-obstacles","count patches with [ pcolor = brown ] / count patches","prey-win","predator-win","detect-time","pursuit-time","sim-time","prey-escape-length","predator-pursuit-length","prey-curviness","predator-curviness","[ behaviour ] of one-of prey","[ behaviour ] of one-of predators","prey-detected"
"37","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","944","89","0.05004166483926144","0","1","40.35","6.8500000000000005","47.150000000000006","20.377015325252106","4.227260705008149","0.18835057463738764","0.5849317503508332","escape","pursue","1"
"38","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","1015","94","0.05004166483926144","0","1","50.45","0.30000000000000004","50.7","0.8731624355640053","2.4808865088783962","0.04499528988206059","0.0021668672449849276","escape","pursue","1"
"8","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","648","95","0.05004166483926144","1","0","15.600000000000001","16.8","32.35","30.626525077011447","9.954949190498237","0.3806557227054145","0.4160575038678359","escape","pursue","1"
"4","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","706","88","0.05004166483926144","0","1","34.1","1.2000000000000002","35.25","2.3311011038971627","1.4500582928498431","0.15566539958079811","0.2021095976804062","escape","pursue","1"
"27","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","608","87","0.05004166483926144","1","0","14.55","15.850000000000001","30.35","32.48194256408374","9.962349370742304","0.2553102763267501","0.5959291098568047","escape","pursue","1"
"41","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","645","90","0.05004166483926144","1","0","11.100000000000001","21.150000000000002","32.2","53.31674185231062","9.9709427721924","0.23644686193386152","0.4138889781540774","escape","pursue","1"
"26","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","582","86","0.05004166483926144","0","1","26.200000000000003","0","29.05","0","0","0","0","forage","stalk","1"
"35","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","669","89","0.05004166483926144","1","0","26.05","7.4","33.4","19.645544377574698","9.994997347933452","0.10230762152571689","0.2340398526550995","escape","pursue","1"
"15","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","1869","86","0.05004166483926144","1","0","53.800000000000004","39.650000000000006","93.4","85.56094223207779","9.95822763795989","0.31896084562069016","0.4534223380636907","escape","pursue","1"
"36","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","1800","88","0.05004166483926144","1","0","82.9","7.1000000000000005","89.95","14.135972344989863","9.952414921644834","0.19246640109553653","0.18859883352024517","escape","pursue","1"
"14","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","1139","91","0.05004166483926144","0","1","56.150000000000006","0.8","56.900000000000006","0.35893343271052763","3.31030095969415","1.713845161618903","0.014734088765834506","escape","pursue","1"
"20","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","909","91","0.05004166483926144","0","1","44.35","1.1","45.400000000000006","0.6694903743159912","3.0301633293678614","0.9427239594776641","0.056276104319333047","escape","pursue","1"
"40","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","2073","88","0.05004166483926144","1","0","92.15","11.5","103.60000000000001","35.97091665436795","9.967734237759093","0.3745718212892446","0.46169602129980103","escape","pursue","1"
"21","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","1961","86","0.05004166483926144","1","0","54.7","43.35","98","124.38625115540857","9.888948778749704","0.1329916475541825","0.4509802955951137","escape","pursue","1"
"12","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","1363","89","0.05004166483926144","0","1","67.35000000000001","0.8","68.10000000000001","0.306552457187633","3.5549367278990536","2.7399049975216285","0.015352882467789986","escape","pursue","1"
"3","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","1943","92","0.05004166483926144","0","1","96.15","1","97.10000000000001","0.5628539813743926","2.979491764914148","1.0973795195939853","0.03317957850730706","escape","pursue","1"
"11","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","3440","93","0.05004166483926144","0","1","7.050000000000001","100.65","171.95000000000002","246.57259532209983","9.669891676803122","0.2188027654044604","0.6890518423578531","circle","stalk","1"
"13","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","2497","94","0.05004166483926144","1","0","115.4","9.450000000000001","124.80000000000001","17.416354299124613","9.98271131564964","0.2649113163175012","0.2798553965437902","escape","pursue","1"
"47","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","1224","89","0.05004166483926144","0","1","59","2.2","61.150000000000006","1.2258181068416627","2.7728074737660653","1.2143346513529423","0.22833386859629876","escape","pursue","1"
"43","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","1355","93","0.05004166483926144","1","0","58.050000000000004","9.75","67.7","24.47628241614936","9.965069962726712","0.21033505888747406","0.2952336960665861","escape","pursue","1"
"49","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","894","92","0.05004166483926144","0","1","43.25","1.4500000000000002","44.650000000000006","3.095563197788317","1.2966062995966037","0.23409851107325394","0.44507311398294824","escape","pursue","1"
"16","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","2490","92","0.05004166483926144","0","1","123.15","1.35","124.45","2.199031569842451","1.9059919305743445","0.41228438585090565","0.17748447035257262","escape","pursue","1"
"53","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","584","87","0.05004166483926144","0","1","28.700000000000003","0.5","29.150000000000002","0.45374795425697284","2.3419645622923517","0.41544928589867214","0.00681880475760926","escape","pursue","1"
"54","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","959","88","0.05004166483926144","0","1","46.650000000000006","1.3","47.900000000000006","1.054209742162534","2.898613281981577","0.5364721895697268","0.0627541704927091","escape","pursue","1"
"56","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","783","86","0.05004166483926144","1","0","32.95","6.25","39.1","14.317469103918379","9.993698746150358","0.3511809094177414","0.14836107507345841","escape","pursue","1"
"58","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","800","93","0.05004166483926144","1","0","25.900000000000002","14.100000000000001","39.95","38.713853566772464","9.924037042311362","0.19532591938057026","0.5436698101148957","escape","pursue","1"
"42","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","2926","90","0.05004166483926144","1","0","103.9","42.400000000000006","146.25","97.80287923992859","9.970969348817585","0.2756000823023414","0.43176595669864515","escape","pursue","1"
"25","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","3610","86","0.05004166483926144","0","1","179.55","0.9500000000000001","180.45000000000002","1.975335535227762","2.1211168338163633","0.5594999393856398","0.11167914735997891","escape","pursue","1"
"5","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","3425","91","0.05004166483926144","1","0","164.65","6.6000000000000005","171.20000000000002","12.56803604723257","9.944147957774591","0.12772822802757214","0.21491332292698778","escape","pursue","1"
"65","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","902","84","0.05004166483926144","1","0","0.05","45.050000000000004","45.050000000000004","119.56268895474936","9.912620257485905","0.21521550719762067","0.2978860097830685","escape","pursue","1"
"19","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","3946","93","0.05004166483926144","0","1","196.3","1","197.25","0.2633505401090903","3.45738496038572","5.012794589424814","0.026374792136200212","escape","pursue","1"
"64","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","788","94","0.05004166483926144","0","1","39.35","0","39.35","0","0","0","0","forage","stalk","1"
"63","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","1180","90","0.05004166483926144","1","0","18.5","40.5","58.95","122.56905056592883","9.996743154813856","0.14177827692692452","0.4971480543246899","escape","pursue","1"
"46","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","2891","96","0.05004166483926144","0","1","42.75","16.1","144.5","53.3004842638793","4.765435120165347","0.0937091029452075","0.22562269274254249","escape","pursue","1"
"23","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","6756","93","0.05004166483926144","1","0","215.85000000000002","121.95","337.75","346.18798689499374","9.946429359479945","0.16233724672770086","0.226199668612494","escape","pursue","1"
"22","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","6154","90","0.05004166483926144","1","0","228.5","79.2","307.65000000000003","204.4995311792132","9.984428228317192","0.15667613995396446","0.6148476090444808","escape","pursue","1"
"72","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","1432","86","0.05004166483926144","1","0","42.25","29.35","71.55","69.13615598278629","9.96692512141534","0.1367581923563281","0.2868224791003362","escape","pursue","1"
"48","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","3920","92","0.05004166483926144","1","0","174.4","21.6","195.95000000000002","53.01025597234221","9.99723248659917","0.11769015814443477","0.589349567768725","escape","pursue","1"
"66","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","2494","90","0.05004166483926144","0","1","101.30000000000001","23.400000000000002","124.65","73.20059929832067","9.066096979534256","0.13365057684380752","0.3336817126702408","escape","pursue","1"
"52","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","4101","90","0.05004166483926144","0","1","204.5","0.55","205","0.22055791601704683","3.067891898506787","2.1299727001461095","0.0063487486017410255","escape","pursue","1"
"50","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","3719","88","0.05004166483926144","1","0","178.3","7.65","185.9","21.717605070088","9.990066724757485","0.17052376968893637","0.28384086641422296","escape","pursue","1"
"70","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","1559","90","0.05004166483926144","1","0","62.7","15.25","77.9","43.70127486199029","9.893138918206013","0.14500542621054793","0.6144941237162006","escape","pursue","1"
"69","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","2894","89","0.05004166483926144","1","0","23.450000000000003","91.60000000000001","144.65","280.0615666858289","9.980315492725111","0.1282007924295997","0.6576277588071713","escape","pursue","1"
"79","0.5","15","180","5","5","510","3","1","0.5","15","180","10","1","0.05","1","0.99","0.99","1","0","343","95","0.05004166483926144","1","0","0.5","17.1","17.1","47.59873506245457","9.99677159284464","0.2987411804787629","0.12989836204231747","escape","pursue","1"
